"Time","images_score_v2.lance / get_range","images_v6.lance / get_range","manual_image_appraisal_v1.lance / get_range","manual_skeet_appraisal_v1.lance / get_range","images_score_v2.lance / get","images_v6.lance / get","manual_image_appraisal_v1.lance / get","manual_skeet_appraisal_v1.lance / get","validate_v1.lance / get","images_score_v2.lance / head","images_score_v2.lance / list","images_v6.lance / list","manual_image_appraisal_v1.lance / list","manual_skeet_appraisal_v1.lance / list","validate_v1.lance / list","images_score_v2.lance / put"
1777394520000,0,2.6666666666666665,undefined,undefined,18.666666666666664,586.6666666666666,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777394580000,0,1.3333333333333333,undefined,undefined,6.666666666666666,268,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777394640000,0,1.333325925967078,undefined,undefined,6.6666296298353895,267.99851111938267,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394700000,1.333325925967078,1.333325925967078,undefined,undefined,46.66640740884773,265.3318592674485,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394760000,1.333325925967078,1.333325925967078,undefined,undefined,46.66640740884773,265.3318592674485,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394820000,1.333325925967078,1.333325925967078,undefined,undefined,46.66640740884773,265.3318592674485,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394880000,1.333325925967078,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394940000,1.333325925967078,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777395000000,1.3333333333333333,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777395060000,0,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777395120000,1.333325925967078,2.666651851934156,undefined,undefined,54.6663629646502,294.66502963872426,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777395180000,1.333325925967078,2.666651851934156,undefined,undefined,99.99944444753085,559.9968889061728,0,0,0,0,18.666562963539093,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777395240000,1.3333185186831256,2.666637037366251,undefined,undefined,99.99888890123442,559.9937778469127,0,0,0,0,17.333140742880634,11.99986666814813,3.9999555560493767,3.9999555560493767,3.9999555560493767,6.666592593415627
1777395300000,1.3333185186831256,1.3333185186831256,undefined,undefined,105.33216297596692,585.3268297018922,0,0,0,0,21.33309629893001,13.333185186831255,5.333274074732502,5.333274074732502,5.333274074732502,9.33322963078188
1777395360000,1.3333185186831256,2.666637037366251,undefined,undefined,67.9992444528394,655.9927111920978,0,0,0,0,30.66632592971189,17.333140742880634,6.666592593415627,6.666592593415627,6.666592593415627,15.999822224197507
1777395420000,1.333325925967078,2.666651851934156,undefined,undefined,67.99962222432097,655.9963555758023,0,0,0,0,31.999822223209872,18.666562963539093,7.999955555802468,7.999955555802468,7.999955555802468,15.999911111604936
